Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1964,6,1.208,,0.653,-0.073,-0.027,-0.710,,,,1.362,,,0.530,5.970,-1.048,0
1964,7,1.177,,0.662,-0.051,-0.018,-0.697,,,,1.359,,,0.590,5.960,-0.957,0
1964,8,1.055,,0.699,-0.036,-0.002,-0.700,,,,1.399,,,0.580,6.000,-0.987,0
1964,9,1.116,,0.692,-0.045,-0.006,-0.704,,,,1.396,,,0.340,5.900,-0.987,0
1964,10,1.025,,0.708,-0.036,0.004,-0.704,,,,1.411,,,0.520,6.090,-1.078,0
1964,11,1.482,,0.689,-0.030,-0.015,-0.719,,,,1.408,,,0.420,5.930,-1.231,0
1964,12,1.147,,0.619,-0.124,-0.085,-0.789,,,,1.408,,,0.520,6.010,-1.292,0
1965,1,1.269,,0.604,-0.124,-0.082,-0.768,,,,1.372,,,0.460,5.940,-1.322,0
1965,2,1.269,,0.610,-0.118,-0.082,-0.774,,,,1.384,,,0.350,5.820,-1.261,0
1965,3,1.147,,0.601,-0.140,-0.103,-0.810,,,,1.411,,,0.380,5.990,-1.414,0
1965,4,1.147,,0.668,-0.045,-0.018,-0.700,,,,1.369,,,0.530,5.900,-1.078,0
1965,5,1.086,,0.680,-0.048,-0.021,-0.722,,,,1.402,,,0.530,5.970,-0.987,0
1965,6,,,0.705,-0.030,0.001,-0.704,,,,1.408,,,,,,5
1965,7,,,0.702,-0.036,-0.006,-0.713,,,,1.414,,,,,,5
1965,8,1.147,,0.674,-0.054,-0.030,-0.731,,,,1.405,,,0.580,5.920,,0
1965,9,1.147,,0.668,-0.048,-0.024,-0.716,,,,1.384,,,0.600,5.970,-1.017,0
1965,10,1.238,,0.668,-0.036,-0.012,-0.688,,,,1.356,,,0.660,5.960,-0.987,0
1965,11,1.147,,0.671,-0.048,-0.006,-0.685,,,,1.356,,,0.520,6.100,-1.017,0
1965,12,1.025,,0.613,-0.109,-0.076,-0.764,,,,1.378,,,0.560,5.920,-1.200,0
1966,1,1.634,,0.622,-0.088,-0.067,-0.758,,,,1.381,,,0.470,5.880,-1.566,0
1966,2,1.086,,0.613,-0.100,-0.079,-0.774,,,,1.387,,,0.520,5.800,-1.170,0
1966,3,1.177,,0.659,-0.079,-0.036,-0.731,,,,1.390,,,0.570,5.890,-1.170,0
1966,4,1.238,,0.635,-0.085,-0.048,-0.734,,,,1.369,,,0.480,5.960,-1.109,0
1966,5,1.116,,0.665,-0.073,-0.030,-0.722,,,,1.387,,,0.560,5.880,-1.139,0
1966,6,0.933,,0.662,-0.039,0.001,-0.658,,,,1.320,,,0.790,6.190,-0.926,0
1966,7,1.025,,0.729,0.019,0.049,-0.633,,,,1.362,,,0.980,6.240,-0.896,0
1966,8,1.116,,0.702,-0.009,0.025,-0.649,,,,1.350,,,0.810,6.090,-1.017,0
1966,9,,,0.732,0.019,0.049,-0.633,,,,1.366,,,,,,5
1966,10,1.147,,0.625,-0.088,-0.060,-0.749,,,,1.375,,,0.570,6.100,-1.200,0
1966,11,1.055,,0.647,-0.060,-0.024,-0.697,,,,1.344,,,0.510,5.770,-1.109,0
1966,12,1.726,,0.607,-0.115,-0.091,-0.789,,,,1.396,,,0.490,5.810,-1.414,0
1967,1,1.299,,0.589,-0.103,-0.085,-0.755,,,,1.344,,,0.380,5.960,-1.109,0
1967,3,1.299,,0.610,-0.118,-0.070,-0.749,,,,1.359,,,0.360,5.950,-1.261,0
1967,4,1.360,,0.665,-0.042,0.010,-0.643,,,,1.308,,,0.540,6.170,-1.200,0
1967,11,1.329,,0.686,-0.057,-0.015,-0.716,,,,1.402,,,0.450,6.040,-1.170,0
1967,12,1.360,,0.677,-0.051,-0.006,-0.688,,,,1.366,,,0.500,5.830,-1.048,0
1968,1,1.025,,0.540,-0.176,-0.124,-0.789,,,,1.329,,,0.490,6.080,-1.536,0
1968,2,0.903,,0.577,-0.121,-0.088,-0.755,,,,1.332,,,0.660,6.270,-1.353,0
1968,3,0.933,,0.571,-0.112,-0.088,-0.746,,,,1.317,,,0.860,6.140,-1.322,0
1968,4,1.086,,0.571,-0.106,-0.070,-0.710,,,,1.280,,,0.800,6.260,-1.078,0
1968,5,0.994,,0.613,-0.073,-0.033,-0.679,,,,1.292,,,0.860,6.150,-1.139,0
1968,6,1.177,,0.711,0.004,0.058,-0.597,,,,1.308,,,0.380,5.980,-0.926,0
1968,7,1.055,,0.689,-0.021,0.019,-0.655,,,,1.344,,,0.480,5.860,-0.896,0
1968,8,1.086,,0.686,-0.024,0.016,-0.658,,,,1.344,,,0.500,5.900,-0.896,0
1968,9,1.116,,0.668,-0.030,-0.002,-0.670,,,,1.338,,,0.350,5.950,-0.957,0
1968,10,1.269,,0.638,-0.057,-0.024,-0.685,,,,1.323,,,0.370,5.970,-1.109,0
1968,11,1.512,,0.717,-0.015,0.031,-0.658,,,,1.375,,,0.510,6.120,-1.261,0
1968,12,1.482,,0.555,-0.146,-0.100,-0.758,,,,1.314,,,0.550,5.980,-1.322,0
1969,1,1.055,,0.507,-0.167,-0.143,-0.795,,,,1.301,,,0.450,5.950,-1.292,0
1969,2,0.994,,0.598,-0.097,-0.063,-0.722,,,,1.320,,,0.350,5.950,-1.292,0
1969,3,0.994,,0.613,-0.063,-0.033,-0.682,,,,1.295,,,0.390,5.540,-1.078,0
1969,4,0.994,,0.628,-0.042,-0.015,-0.661,,,,1.289,,,0.480,5.840,-1.170,0
1969,5,1.147,,0.683,-0.030,0.010,-0.664,,,,1.347,,,0.600,5.950,-0.957,0
1969,6,1.208,,0.744,0.025,0.083,-0.582,,,,1.326,,,0.580,6.080,-0.896,0
1969,7,1.238,,0.766,0.022,0.077,-0.615,,,,1.381,,,0.390,5.740,-0.926,0
1969,8,1.208,,0.750,0.037,0.071,-0.606,,,,1.356,,,0.460,6.080,-0.987,0
1969,9,1.177,,0.720,0.019,0.058,-0.606,,,,1.326,,,0.510,5.880,-0.926,0
1969,10,1.086,,0.699,0.022,0.052,-0.597,,,,1.295,,,0.440,5.940,-1.017,0
1969,11,1.269,,0.732,0.040,0.086,-0.560,,,,1.292,,,0.380,5.860,-0.926,0
